Activity_ID,Student_ID,Activity_Type,Activity_Category,Frequency_of_Participation,Duration_per_Session (Hours),Impact_on_Performance,Teacher_Supervisor,Parental_Support
407269,93810,Traditional Dance,Cultural,Monthly,2.38,Neutral,Angel Rojas,No
156962,93810,Chess,Sports,Daily,1.38,Negative,Raymond Roy,No
647155,93810,Scrabble,Sports,Bi-weekly,2.11,Positive,Kevin Ramos,No
531106,24592,Mathematics Competitions,Academic,Bi-weekly,2.46,Negative,Amber Richardson,No
768470,24592,Quiz Competition,Extracurricular,Daily,1.35,Positive,Alan Simpson,No
564199,13278,Cultural Day Rehearsals,Cultural,Daily,1.26,Neutral,Jeanette Brown,Yes
570836,13278,Music Band,Cultural,Monthly,1.25,Positive,Molly Hines,No
531642,13278,Volleyball,Sports,Bi-weekly,1.51,Negative,Linda Cooper,No
682446,13278,Chemistry Lab Work,Academic,Daily,1.81,Negative,Nichole Vasquez,No
755768,46048,Science Practical Sessions,Academic,Weekly,1.03,Positive,Tammy Leblanc,No
268791,46048,Press Club,Extracurricular,Monthly,1.21,Neutral,Tara Jones,No
915519,42098,Social Events Planning,Extracurricular,Bi-weekly,3,Positive,James Warren,Yes
659453,42098,Traditional Dance,Cultural,Bi-weekly,1.42,Negative,Wesley Gonzalez,No
575913,39256,Social Events Planning,Extracurricular,Weekly,1.33,Negative,Timothy Best,Yes
429462,39256,Drama Club,Extracurricular,Weekly,2.91,Positive,Timothy Harris,No
520806,28289,Social Events Planning,Extracurricular,Daily,1.38,Neutral,Joshua Miller,No
111158,28289,Traditional Dance,Cultural,Weekly,2.86,Positive,Zachary Velez,No
810968,28289,Cultural Day Rehearsals,Cultural,Monthly,2.46,Positive,Larry Smith,Yes
218090,28289,Football,Sports,Weekly,2.96,Positive,Javier Bryan,Yes
802160,23434,Jets Club,Academic,Weekly,2.32,Negative,John Payne,Yes
461722,23434,Jets Club,Academic,Weekly,2.36,Neutral,Connor West,No
800318,23434,Scrabble,Sports,Bi-weekly,1.75,Positive,Elizabeth Watkins,No
861252,98696,Jets Club,Academic,Daily,1.63,Neutral,Sharon Morris,No
247693,81482,Chess,Sports,Monthly,1.83,Negative,Elizabeth Williams,Yes
957170,81482,Music Band,Cultural,Monthly,2.46,Negative,Donald Cooley,Yes
347996,21395,Cultural Day Rehearsals,Cultural,Bi-weekly,2.7,Positive,Michael Collier,Yes
517710,21395,Quiz Competition,Extracurricular,Bi-weekly,2.45,Positive,Brian Thomas,Yes
585705,21395,Music Band,Cultural,Monthly,1.38,Negative,Kathryn Palmer,No
295714,21395,Scrabble,Sports,Weekly,1.18,Neutral,Roy Fowler,No
615454,21395,Mathematics Competitions,Academic,Monthly,1.8,Positive,Leah Wilcox,No
207309,87397,Chemistry Lab Work,Academic,Daily,1.19,Negative,Debbie Arias,Yes
540263,87397,Cultural Day Rehearsals,Cultural,Weekly,1.59,Negative,Joshua Navarro,No
615171,65302,Quiz Competition,Extracurricular,Daily,1.14,Neutral,Melissa Kim,No
894693,14165,Music Band,Cultural,Bi-weekly,2.97,Negative,Ronald Baxter,No
665559,13905,Chess,Sports,Monthly,2.37,Neutral,Brian Robertson,No
669913,22280,Mathematics Competitions,Academic,Bi-weekly,2.61,Negative,Emily Johnson,Yes
340027,22280,Scrabble,Sports,Weekly,1.52,Negative,Joanna Rodgers,No
616765,22280,Scrabble,Sports,Weekly,1.44,Neutral,Leah Ball,No
549513,22280,Music Band,Cultural,Daily,1.67,Neutral,Timothy Wilson,Yes
601556,22280,Volleyball,Sports,Weekly,2.69,Neutral,Jennifer Hurley,No
347411,38657,Traditional Dance,Cultural,Bi-weekly,2.14,Negative,Kelly Aguirre,No
930895,38657,Social Events Planning,Extracurricular,Daily,1.34,Neutral,Phillip Bennett,Yes
250606,38657,Athletics,Sports,Bi-weekly,1.2,Negative,Ryan White,No
759737,38657,Cultural Day Rehearsals,Cultural,Weekly,2.02,Positive,Michael Miller,No
512464,40495,Debate Club,Academic,Weekly,2.85,Positive,Mary Smith,No
451326,40495,Scrabble,Sports,Daily,2.04,Positive,Jillian Garcia,Yes
377776,76237,Cultural Day Rehearsals,Cultural,Monthly,1.9,Negative,Chris Jones,No
782939,88907,Cultural Day Rehearsals,Cultural,Monthly,1.4,Positive,Carrie Holden,No
245483,88907,Chemistry Lab Work,Academic,Daily,2.95,Negative,James Bryant,No
723033,88907,Drama Club,Extracurricular,Weekly,1.79,Neutral,Kristin Ferguson,No
814984,88907,Chemistry Lab Work,Academic,Monthly,2.37,Neutral,Jeffrey Lynch,Yes
402833,13478,Volleyball,Sports,Monthly,1.54,Positive,Shawna Benton,No
233037,13478,Drama Club,Extracurricular,Daily,2.17,Neutral,Amanda Rivera,No
135558,13478,Drama Club,Extracurricular,Daily,2.83,Negative,Melissa Hall,Yes
982653,83563,Debate Club,Academic,Weekly,1.28,Negative,Vanessa George,No
824992,83563,Debate Club,Academic,Bi-weekly,1.16,Positive,Wayne Wong,Yes
412619,83563,Press Club,Extracurricular,Monthly,1.06,Positive,Gail Moss,Yes
637086,83563,Athletics,Sports,Monthly,2.37,Positive,Andrea Miller,Yes
463624,36062,Science Practical Sessions,Academic,Daily,1.62,Neutral,Joshua Ellis,Yes
949618,36062,Social Events Planning,Extracurricular,Daily,2.67,Positive,Amanda Pena,Yes
196118,36062,Quiz Competition,Extracurricular,Monthly,2.8,Negative,Christopher Woodard,Yes
521164,36062,Debate Club,Academic,Daily,2.02,Positive,John Ryan,No
788627,36062,Music Band,Cultural,Daily,1.54,Neutral,Timothy Hayes,Yes
498928,95181,Social Events Planning,Extracurricular,Daily,2.95,Negative,Tracey Brown,No
758315,95181,Mathematics Competitions,Academic,Bi-weekly,1.3,Neutral,Julia Bishop,Yes
616393,95181,Athletics,Sports,Bi-weekly,2.62,Neutral,Chris Hanson,No
557666,95181,Cultural Day Rehearsals,Cultural,Daily,2.08,Negative,Michelle Moore,No
974604,95181,Drama Club,Extracurricular,Weekly,1.16,Positive,Jose Gonzalez,No
886185,81426,Traditional Dance,Cultural,Bi-weekly,2.2,Neutral,Mason Flores,Yes
649859,81426,Traditional Dance,Cultural,Monthly,1.29,Positive,Mason Fleming,Yes
930897,81426,Press Club,Extracurricular,Monthly,1.54,Positive,Anthony Adams,No
131350,81426,Science Practical Sessions,Academic,Weekly,2.69,Neutral,Shawna Campos,No
509106,81426,Debate Club,Academic,Monthly,1.21,Negative,Manuel Jennings,Yes
696842,64987,Social Events Planning,Extracurricular,Bi-weekly,2.83,Neutral,Michael Jackson,No
668087,64987,Science Practical Sessions,Academic,Monthly,1.51,Positive,Paul Phelps,No
381356,64987,Cultural Day Rehearsals,Cultural,Bi-weekly,2.03,Neutral,Timothy Long,No
722429,64987,Cultural Day Rehearsals,Cultural,Daily,1.24,Negative,Charles Serrano,No
741086,64987,Music Band,Cultural,Monthly,2.05,Negative,Mark Walters,Yes
239563,38893,Social Events Planning,Extracurricular,Bi-weekly,2.6,Neutral,Nancy Bradford,Yes
927887,38893,Jets Club,Academic,Monthly,2.86,Neutral,Sean Cline,Yes
304019,68878,Cultural Day Rehearsals,Cultural,Daily,1.5,Neutral,Stephanie Armstrong,No
208110,68878,Debate Club,Academic,Monthly,2.76,Negative,Christopher Miller,Yes
813586,87236,Cultural Day Rehearsals,Cultural,Weekly,1.9,Neutral,Chelsea Juarez,Yes
857513,87236,Chess,Sports,Daily,1.93,Neutral,Karen Sloan MD,No
275824,46463,Mathematics Competitions,Academic,Bi-weekly,2.91,Positive,Carolyn Shah,Yes
332419,46463,Debate Club,Academic,Monthly,1.68,Negative,Courtney Moreno,No
919653,46463,Social Events Planning,Extracurricular,Monthly,1.44,Negative,Ashley Dalton,Yes
628986,10851,Volleyball,Sports,Daily,1.42,Neutral,Michael Wood,Yes
126905,10851,Basketball,Sports,Weekly,2.72,Negative,Katherine Baker,Yes
505042,10851,Science Practical Sessions,Academic,Weekly,1.98,Neutral,Kristin Smith,Yes
436007,10851,Debate Club,Academic,Monthly,2.13,Neutral,Patricia Mitchell,Yes
374419,30926,Science Practical Sessions,Academic,Weekly,1.46,Negative,Cory Fuller,No
225805,30926,Volleyball,Sports,Monthly,2.26,Neutral,Stephanie Holloway,No
178129,30926,Science Practical Sessions,Academic,Weekly,2.2,Neutral,Ashley Olson,Yes
607771,30926,Football,Sports,Daily,1.47,Negative,Curtis Whitaker,Yes
449820,65392,Social Events Planning,Extracurricular,Bi-weekly,2.43,Neutral,Debra Johnson,No
979296,65392,Mathematics Competitions,Academic,Bi-weekly,2.2,Positive,James Davis,Yes
407914,65392,Scrabble,Sports,Weekly,2.08,Positive,Gabriel Murphy,No
212430,54597,Cultural Day Rehearsals,Cultural,Bi-weekly,2.25,Neutral,Christopher Harvey,Yes
324885,54597,Cultural Day Rehearsals,Cultural,Weekly,1.18,Neutral,Karen Singleton,Yes
650004,54597,Jets Club,Academic,Weekly,2.12,Positive,Robert West,No
432734,54597,Cultural Day Rehearsals,Cultural,Weekly,2.89,Negative,Tyler Baker,Yes
987729,54597,Drama Club,Extracurricular,Bi-weekly,2,Negative,Sean Lang,Yes
397249,46421,Quiz Competition,Extracurricular,Monthly,1.17,Neutral,Rebecca Johnson,No
471048,46421,Chemistry Lab Work,Academic,Daily,2.29,Positive,James Moreno,No
227940,46421,Press Club,Extracurricular,Weekly,1.33,Positive,Kelly Hoffman,Yes
734463,46421,Cultural Day Rehearsals,Cultural,Bi-weekly,2.43,Neutral,Bonnie Woods,Yes
384879,46421,Football,Sports,Daily,2.81,Positive,David Palmer,Yes
684900,30379,Traditional Dance,Cultural,Weekly,1.3,Positive,Hannah Martin,No
243497,38221,Cultural Day Rehearsals,Cultural,Weekly,2.6,Positive,Kristin Durham,No
913547,38221,Drama Club,Extracurricular,Daily,2.02,Neutral,Anthony Nguyen,Yes
910471,38221,Quiz Competition,Extracurricular,Bi-weekly,1.3,Positive,Jennifer Webster,No
665093,54118,Athletics,Sports,Bi-weekly,1.18,Negative,Edwin Jackson,No
616645,54118,Social Events Planning,Extracurricular,Monthly,1.09,Positive,Katrina Bird,Yes
801827,54118,Football,Sports,Daily,2.21,Negative,Mark Quinn,No
542461,23396,Science Practical Sessions,Academic,Bi-weekly,2.28,Neutral,Rebecca Stewart,No
847295,22156,Basketball,Sports,Bi-weekly,2.8,Positive,Donna Shaw,Yes
419335,22156,Press Club,Extracurricular,Bi-weekly,1.09,Neutral,Susan Ponce,No
951881,22156,Football,Sports,Daily,2.83,Positive,Victoria Johnson,No
992351,22156,Quiz Competition,Extracurricular,Daily,2.89,Negative,Andrew Moore,No
421746,22156,Cultural Day Rehearsals,Cultural,Monthly,1.17,Negative,David Holland,No
343363,59797,Cultural Day Rehearsals,Cultural,Weekly,2.13,Negative,David Day,Yes
965932,59797,Debate Club,Academic,Weekly,2.54,Negative,Samantha Lloyd,No
432793,59797,Science Practical Sessions,Academic,Daily,2.38,Negative,Aaron Morgan,Yes
135430,59797,Science Practical Sessions,Academic,Weekly,1.69,Neutral,Madeline Simmons,Yes
874011,59797,Football,Sports,Monthly,1.69,Positive,Brian Turner,No
992466,22676,Athletics,Sports,Daily,1.64,Positive,Lisa Cruz,Yes
750077,22676,Debate Club,Academic,Monthly,2.88,Negative,Katherine Porter DVM,No
332873,22676,Cultural Day Rehearsals,Cultural,Daily,1.75,Positive,Steven Mccormick,No
854304,22676,Drama Club,Extracurricular,Monthly,2.5,Positive,Maria Hernandez,No
106674,57052,Debate Club,Academic,Monthly,1.42,Positive,Ryan Mercer,No
837866,57052,Music Band,Cultural,Weekly,1.77,Positive,Jacob Clark,Yes
172973,55082,Quiz Competition,Extracurricular,Daily,1.47,Neutral,Renee Thompson,Yes
669759,55082,Drama Club,Extracurricular,Weekly,2.37,Positive,Ashley Anderson,Yes
976964,55082,Chess,Sports,Monthly,1.03,Positive,Curtis Thomas,Yes
982027,55082,Athletics,Sports,Weekly,1.4,Positive,Lori Hanson,No
161849,55082,Chess,Sports,Bi-weekly,2.34,Neutral,Adam Davis,No
356637,89131,Chemistry Lab Work,Academic,Weekly,1.33,Negative,John Harris,Yes
679596,89131,Drama Club,Extracurricular,Monthly,1.2,Positive,Alexander Martin,No
