Student_ID,Teacher_Student_Ratio,Average_Teacher_Experience_Years,Average_Class_Size,School_Funding_Per_Student,School_Extracurricular_Activities,Parental_Involvement_Score,School_Facilities_Rating,Internet_Access_In_School,School_Distance_From_Home_km,Student_Attendance_Rate,Disciplinary_Actions_Taken,Student_Performance_Score
93810,21.85508046,5,24,12984,Arts,6.225390937,7.827782318,TRUE,0.628644513,85.47333821,1,31.43523723
24592,21.85508046,13,24,23862,Arts,9.678251309,8.911485062,FALSE,3.563694593,99.72165844,1,42.47968106
13278,21.85508046,14,24,10914,Sports,7.359482519,6.441048732,FALSE,1.757442107,96.88007707,0,86.56152565
46048,21.85508046,15,24,14890,Both,8.206921558,8.574389341,FALSE,4.828291527,80.27328998,3,52.17840499
42098,21.85508046,16,24,24956,None,7.664513155,7.282487664,FALSE,3.642559941,97.72004106,1,72.79616106
39256,21.85508046,7,24,23094,Both,7.657303855,8.076782469,TRUE,1.308444844,93.28768003,1,98.3528576
28289,21.85508046,18,24,22940,None,9.179974958,6.182374078,FALSE,3.760809606,90.7085529,3,55.75231546
23434,21.85508046,19,24,19929,Arts,5.924181937,7.755220804,FALSE,0.899811533,88.69572923,3,87.54462332
98696,21.85508046,15,24,12885,None,8.627452244,7.988820347,FALSE,1.411457455,99.40730452,2,37.40497915
81482,21.85508046,11,24,11144,None,7.730780398,6.273460843,FALSE,2.292133913,92.7701479,3,71.22065348
21395,21.85508046,5,24,10718,Sports,5.184964069,9.013760558,FALSE,1.684097337,91.71622559,2,87.5221463
87397,21.85508046,14,24,21812,None,8.35329592,6.599611425,TRUE,1.363992773,88.59685167,0,48.39030739
65302,21.85508046,14,24,27744,Sports,5.406588154,6.268638933,TRUE,3.435755609,86.17135182,2,25.68504416
14165,21.85508046,12,24,21930,None,8.766550483,8.674887618,FALSE,3.584674176,88.41682945,1,82.13225899
13905,21.85508046,9,24,14487,Both,7.279393147,6.589543376,TRUE,4.81910015,92.71218263,1,80.02213887
22280,21.85508046,16,24,23496,Both,9.039174287,8.664745799,FALSE,1.716189902,99.81986264,3,67.89208986
38657,21.85508046,14,24,27263,Sports,9.228509915,6.498928741,TRUE,4.719962521,80.12211649,1,73.66750287
40495,21.85508046,10,24,16194,Arts,5.261232961,6.142609118,TRUE,2.06348907,80.59045536,3,67.93450717
76237,21.85508046,18,24,27833,Sports,7.228493994,6.826684038,TRUE,1.879605633,86.69741969,3,69.81540431
88907,21.85508046,16,24,20411,Both,9.930790292,6.360084711,FALSE,1.30202832,92.33439344,3,64.39109966
13478,21.85508046,12,24,11293,None,6.121564318,8.872255466,FALSE,4.831356565,99.92549174,2,86.47119878
83563,21.85508046,11,24,25314,Arts,6.741114462,8.656510743,TRUE,3.111311565,96.70590622,2,94.61351764
36062,21.85508046,7,24,13499,Both,8.569804087,8.029893029,FALSE,4.500859213,98.94789222,3,74.20479364
95181,21.85508046,10,24,13462,Arts,5.234531287,7.378673437,TRUE,1.916614848,97.27970711,0,74.25837704
81426,21.85508046,19,24,10241,Arts,8.270628616,7.106944334,TRUE,1.53474807,84.81656973,2,72.10996211
64987,21.85508046,16,24,29690,Sports,6.139620031,6.031493951,FALSE,3.741318607,81.96529459,2,71.34203616
38893,21.85508046,13,24,27172,Both,6.328406544,8.557287687,TRUE,1.477112307,87.02536771,3,41.69065196
68878,21.85508046,19,24,17514,None,5.515603654,6.027239707,FALSE,4.059796776,90.29840519,2,91.30028064
87236,21.85508046,15,24,26189,None,8.213416495,7.641466406,TRUE,2.001696671,82.1437813,3,64.52025584
